stationid,name,city,landkreis,lat,lon,address
47,Schildergasse (West),Köln,05315,50.9364674,6.9493833,"Schildergasse, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50667, Deutschland"
48,Hohe Straße (Mitte),Köln,05315,50.9353861,6.9561997,"Hohe Straße, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50667, Deutschland"
49,Westenhellweg (Mitte),Dortmund,05913,51.5143119,7.4629448,"Westenhellweg, Mitte, Dortmund, Nordrhein-Westfalen, 44137, Deutschland"
50,Ehrenstraße (Ost),Köln,05315,50.9383118,6.941502,"Ehrenstraße, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50672, Deutschland"
51,Remigiusstraße,Bonn,05314,50.7339763,7.1003292,"Remigiusstraße, Bonn-Zentrum, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53111, Deutschland"
52,Sternstraße,Bonn,05314,50.7357043,7.0988814,"Sternstraße, Bonn-Zentrum, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53111, Deutschland"
53,Schadowstraße (West),Düsseldorf,05111,51.2274614,6.7863326,"Schadowstraße, Stadtmitte, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40212, Deutschland"
54,Schadowstraße (Ost),Düsseldorf,05111,51.2274614,6.7863326,"Schadowstraße, Stadtmitte, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40212, Deutschland"
55,Flinger Straße (Ost),Düsseldorf,05111,51.2251385,6.7731226,"Flinger Straße, Altstadt, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40213, Deutschland"
56,Königsallee Ostseite (Süd),Düsseldorf,05111,51.2229101,6.7784179,"Königsallee, Stadtmitte, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40212, Deutschland"
56,Königsallee Ostseite (Süd),Düsseldorf,05111,51.2229101,6.7784179,"Königsallee, Stadtmitte, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40212, Deutschland"
57,Schlösserstraße,Erfurt,16051,50.9765925,11.030948411842118,"Schlösserstraße, Altstadt, Erfurt, Thüringen, 99084, Deutschland"
58,Große Bockenheimer Straße,Frankfurt a.M.,06412,50.1148008,8.6735555,"Große Bockenheimer Straße, Innenstadt, Innenstadt 1, Frankfurt am Main, Hessen, 60313, Deutschland"
59,Goethestraße,Frankfurt a.M.,06412,50.1140694,8.673867,"Goethestraße, Innenstadt, Innenstadt 1, Frankfurt am Main, Hessen, 60313, Deutschland"
63,Georgstraße,Hannover,03241,52.3756404,9.7329323,"Georgstraße, Mitte, Hannover, Region Hannover, Niedersachsen, 30159, Deutschland"
64,Große Packhofstraße,Hannover,03241,52.3757912,9.7383759,"Große Packhofstraße, Rosenquartier, Mitte, Hannover, Region Hannover, Niedersachsen, 30159, Deutschland"
65,Karmarschstraße,Hannover,03241,52.3708201,9.7361797,"Karmarschstraße, Mitte, Hannover, Region Hannover, Niedersachsen, 30159, Deutschland"
67,Kaiserstraße (Mitte),Karlsruhe,08212,49.0100848,8.3931202,"Kaiserstraße, Innenstadt-West Westlicher Teil, Innenstadt-West, Karlsruhe, Baden-Württemberg, 76133, Deutschland"
68,Petersstraße,Leipzig,14713,51.3377511,12.3747726,"Petersstraße, Leipzig-Zentrum, Mitte, Leipzig, Sachsen, 04109, Deutschland"
69,Hainstraße,Leipzig,14713,51.3417327,12.3738016,"Hainstraße, Leipzig-Zentrum, Mitte, Leipzig, Sachsen, 04109, Deutschland"
